Project,Client,Description,Duration
SOS2223-24,,#5 Realizar tracking de tiempo,00:13:07
SOS2223-24,,#50 Frontend Svelte,01:42:00
SOS2223-24,,#51 Mensaje informativo a usuarios,00:55:00
SOS2223-24,,#56 Uso de algún widget de la biblioteca Highcharts,00:38:10
SOS2223-24,,#57 Uso de alguna biblioteca especificada en la lista awesome-charting o similar,00:41:28
SOS2223-24,,#58 Alguna de las integraciones o usos se debe hacer a través de un proxy propio.,01:42:00
SOS2223-24,,#59 Integrar o usar al menos 4 APIs distintas y que sean distintas a las que han integrado/usado los compañeros del grupo,03:21:20
SOS2223-24,,#6 Clonar repositorio de la asignatura vicsanesp,00:22:53
SOS2223-24,,#6 trackeo de toggl con git,00:15:08
SOS2223-24,,#7 Configuracion de Postman,00:35:41
SOS2223-24,,#8 Archivo index.YYY.js,01:04:42
SOS2223-24,,#9 Mantener al dia y correcion de errores anteriores,00:30:00
SOS2223-24,,arreglando toggl,00:17:08
SOS2223-24,,,00:00:02
